id,blacklist,code,blacklist_date,ean,currency_id/id,chk4zip,inue_date,chk4addr,insepa_date,ufficioiva,insepa,inue
base.tr,False,TR,,,base.TRL,,,,,76,False,False
base.tt,False,TT,,,base.TTD,,,,,120,False,False
base.tv,True,TV,2009-01-01,,base.AUD,,,,,193,False,False
base.tw,True,TW,2009-01-01,,base.TWD,,,,,22,False,False
base.tz,False,TZ,,,base.TZS,,,,,57,False,False
base.ua,False,UA,,,base.UAH,,,,,263,False,False
base.ug,False,UG,,,base.UGX,,,,,132,False,False
base.uk,False,GB,,,base.GBP,,1973-01-01,,2008-01-01,31,True,True
base.um,False,UM,,,base.USD,,,,,252,False,False
base.us,False,US,,,base.USD,,,,,69,False,False
base.uy,True,UY,2009-01-01,,base.UYU,,,,,80,False,False
base.uz,False,UZ,,,base.UZS,,,,,271,False,False
base.va,False,VA,,,base.EUR,,,,,93,False,False
base.vc,True,VC,2009-01-01,,base.XCD,,,,,196,False,False
base.ve,False,VE,,,base.VEF,,,,,81,False,False
base.vg,True,VG,2009-01-01,,base.USD,,,,,249,False,False
base.vi,True,VI,2009-01-01,,base.USD,,,,,221,False,False
base.vn,False,VN,,,base.VND,,,,,62,False,False
base.vu,True,VU,2009-01-01,,base.VUV,,,,,121,False,False
base.wf,False,WF,,,base.XPF,,,,,218,False,False
base.ws,True,WS,2009-01-01,,base.WST,,,,,131,False,False
base.ye,False,YE,,,base.YER,,,,,42,False,False
base.yt,False,YT,,,base.EUR,,,,,226,False,False
base.za,False,ZA,,,base.ZAR,,,,,78,False,False
base.zm,False,ZM,,,base.ZMK,,,,,58,False,False
base.zw,False,ZW,,,base.ZWD,,,,,73,False,False
